BRAND,year,price,color
Toyota,2020,37279.21,White
BMW,2023,40626.94,Black
BMW,2017,44641.61,Blue
Tesla,2016,25915.26,Red
Tesla,2011,40195.4,Black
Tesla,2011,22293.75,Black
BMW,2011,16840.76,White
Ford,2016,10571.55,Blue
Tesla,2019,49097.41,White
Ford,2015,41423.48,Black
Lada,2024,41767.22,Red
Ford,2013,16298.74,Red
Tesla,2018,5713.89,Red
Toyota,2015,38096.07,White
BMW,2019,21754.3,Red
Toyota,2012,40948.38,Black
Ford,2020,14202.62,Blue
BMW,2010,7683.13,Red
Lada,2012,8388.58,Black
Tesla,2023,5798.97,Silver
Tesla,2024,40391.2,Red
BMW,2013,38298.47,White
Ford,2024,49666.89,Blue
Tesla,2011,12107.45,Silver
Lada,2020,27092.29,Silver
BMW,2014,12429.23,Red
Ford,2020,45299.35,Red
Lada,2010,19300.86,Blue
Lada,2022,29716.37,Red
Toyota,2017,18451.05,Silver
Lada,2011,10992.99,White
Toyota,2021,42695.31,Silver
Toyota,2015,36587.62,Black
Tesla,2020,49362.88,White
Toyota,2018,29979.76,White
Ford,2011,34154.06,Black
Toyota,2010,23531.87,White
Tesla,2023,8042.59,Blue
Tesla,2011,7056.01,White
Ford,2015,12455.13,Black
Lada,2018,27510.99,Silver
Lada,2019,43842.46,White
Lada,2015,49046.13,Silver
Lada,2018,28851.09,Silver
Lada,2018,40065.92,Silver
BMW,2019,44038.95,Silver
Lada,2024,5370.16,Silver
BMW,2015,36419.64,Blue
Ford,2014,11178.13,Silver
Toyota,2018,8322.66,Red
Ford,2019,47518.89,Silver
Lada,2012,13603.69,Silver
Lada,2010,16740.56,Black
BMW,2012,19681.39,Blue
Toyota,2017,22907.11,White
Toyota,2023,21346.49,Red
Tesla,2010,40410.58,Black
Toyota,2020,33167.03,Black
BMW,2010,9436.11,Red
Toyota,2023,44793.81,Black
Ford,2016,19922.52,Black
Ford,2022,33123.97,Black
Tesla,2018,29323.85,Blue
Toyota,2017,10484.05,White
Ford,2015,8040.3,Black
Lada,2021,5970.1,Silver
Ford,2012,30352.71,Red
BMW,2019,12006.18,Blue
Ford,2019,19904.6,Blue
BMW,2013,35366.89,Silver
BMW,2019,41741.7,White
Toyota,2020,15145.97,Black
Ford,2010,26164.1,Red
Lada,2011,27600.81,White
Ford,2014,31875.02,Silver
Tesla,2024,6659.7,Black
BMW,2023,20280.59,Silver
Lada,2021,17697.24,Red
BMW,2013,38918.57,Red
Tesla,2015,33663.63,Silver
Tesla,2017,47957.75,White
BMW,2021,43947.18,White
Toyota,2021,28345.03,Red
Ford,2021,36280.19,Red
Lada,2021,44161.82,White
Lada,2020,10830.45,White
Lada,2024,35049.7,Silver
Toyota,2019,21526.03,Red
Lada,2018,43385.8,Red
Tesla,2022,40937.15,Black
Tesla,2021,23886.66,Blue
Tesla,2010,5410.28,Black
BMW,2015,41058.55,Black
BMW,2017,17890.21,Silver
Ford,2018,23115.29,White
Toyota,2021,6050.67,Blue
Toyota,2019,22998.87,White
Toyota,2019,25669.97,Silver
Lada,2013,42334.54,Blue
Toyota,2017,38797.83,White
